                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.30278,                 2.0769,                0.94118,                0.00313,                      1,                0.66375,                0.63887,                0.23626,                  2.896,                0.76336,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                0.34497,                 2.0485,                0.89572,                0.00314,                      1,                0.66375,                0.59767,                0.26919,                 2.8878,                0.78256,             3.3507e-05,             3.3507e-05,             3.3507e-05
                      3,                0.34173,                 2.1323,                0.85985,                0.00315,                      1,                0.66375,                0.58119,                0.28895,                 2.8835,                0.79163,             2.8339e-05,             2.8339e-05,             2.8339e-05
