                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.27293,                 2.0952,                0.93387,                0.00313,                      1,                0.66375,                0.66375,                0.22666,                 2.8963,                0.76568,                      0,                      0,                      0
                      2,                0.31856,                 2.0397,                0.89138,                0.00313,                      1,                0.66375,                0.66375,                  0.226,                    2.9,                0.76246,             1.1169e-05,             1.1169e-05,             1.1169e-05
                      3,                0.38477,                 2.2351,                 0.8706,                0.00313,                      1,                0.66375,                 0.6224,                0.23273,                 2.8995,                 0.7636,             1.1336e-05,             1.1336e-05,             1.1336e-05
